Concurso,Faixa,Ganhadores,Prêmio
2808,15 Acertos,0,"R$ 0,00"
2808,14 Acertos,230,"R$ 1.494,67"
2808,13 Acertos,9291,"R$ 30,00"
2808,12 Acertos,114320,"R$ 12,00"
2808,11 Acertos,614701,"R$ 6,00"
2807,15 Acertos,2,"R$ 2.377.168,35"
2807,14 Acertos,381,"R$ 2.087,09"
2807,13 Acertos,13800,"R$ 30,00"
2807,12 Acertos,197530,"R$ 12,00"
2807,11 Acertos,958580,"R$ 6,00"
2806,15 Acertos,0,"R$ 0,00"
2806,14 Acertos,165,"R$ 2.668,17"
2806,13 Acertos,7360,"R$ 30,00"
2806,12 Acertos,87788,"R$ 12,00"
2806,11 Acertos,573259,"R$ 6,00"
2805,15 Acertos,1,"R$ 4.386.328,86"
2805,14 Acertos,337,"R$ 1.571,43"
2805,13 Acertos,13818,"R$ 30,00"
2805,12 Acertos,184606,"R$ 12,00"
2805,11 Acertos,1035250,"R$ 6,00"
2804,15 Acertos,0,"R$ 0,00"
2804,14 Acertos,166,"R$ 2.350,27"
2804,13 Acertos,7187,"R$ 30,00"
2804,12 Acertos,103224,"R$ 12,00"
2804,11 Acertos,621427,"R$ 6,00"
2803,15 Acertos,1,"R$ 1.626.203,74"
2803,14 Acertos,230,"R$ 1.482,51"
2803,13 Acertos,7937,"R$ 30,00"
2803,12 Acertos,94628,"R$ 12,00"
2803,11 Acertos,509719,"R$ 6,00"
2802,15 Acertos,3,"R$ 542.096,91"
2802,14 Acertos,279,"R$ 1.746,01"
2802,13 Acertos,9310,"R$ 30,00"
2802,12 Acertos,114063,"R$ 12,00"
2802,11 Acertos,566945,"R$ 6,00"
2801,15 Acertos,3,"R$ 575.687,41"
2801,14 Acertos,215,"R$ 1.684,31"
2801,13 Acertos,8172,"R$ 30,00"
2801,12 Acertos,108798,"R$ 12,00"
2801,11 Acertos,595062,"R$ 6,00"
2798,15 Acertos,6,"R$ 187.345,54"
2798,14 Acertos,503,"R$ 669,39"
2798,13 Acertos,11902,"R$ 25,00"
2798,12 Acertos,121268,"R$ 10,00"
2798,11 Acertos,594091,"R$ 5,00"
2800,15 Acertos,4,"R$ 1.261.103,68"
2800,14 Acertos,602,"R$ 1.288,93"
2800,13 Acertos,16766,"R$ 25,00"
2800,12 Acertos,195878,"R$ 10,00"
2800,11 Acertos,1058924,"R$ 5,00"
2797,15 Acertos,1,"R$ 1.383.889,25"
2797,14 Acertos,260,"R$ 1.594,34"
2797,13 Acertos,10211,"R$ 25,00"
2797,12 Acertos,126984,"R$ 10,00"
2797,11 Acertos,680815,"R$ 5,00"
2799,15 Acertos,3,"R$ 446.839,43"
2799,14 Acertos,278,"R$ 1.444,38"
2799,13 Acertos,10635,"R$ 25,00"
2799,12 Acertos,145269,"R$ 10,00"
2799,11 Acertos,658276,"R$ 5,00"
2796,15 Acertos,2,"R$ 630.856,70"
2796,14 Acertos,516,"R$ 732,42"
2796,13 Acertos,11732,"R$ 25,00"
2796,12 Acertos,124735,"R$ 10,00"
2796,11 Acertos,622247,"R$ 5,00"
2795,15 Acertos,1,"R$ 1.644.234,65"
2795,14 Acertos,251,"R$ 1.373,54"
2795,13 Acertos,9172,"R$ 25,00"
2795,12 Acertos,106783,"R$ 10,00"
2795,11 Acertos,644521,"R$ 5,00"
2791,15 Acertos,1,"R$ 1.505.625,72"
2791,14 Acertos,242,"R$ 1.863,61"
2791,13 Acertos,8876,"R$ 25,00"
2791,12 Acertos,114979,"R$ 10,00"
2791,11 Acertos,613587,"R$ 5,00"
2792,15 Acertos,1,"R$ 1.147.145,91"
2792,14 Acertos,688,"R$ 499,44"
2792,13 Acertos,31427,"R$ 25,00"
2792,12 Acertos,153582,"R$ 10,00"
2792,11 Acertos,709300,"R$ 5,00"
2790,15 Acertos,5,"R$ 1.695.103,60"
2790,14 Acertos,851,"R$ 1.386,48"
2790,13 Acertos,29205,"R$ 25,00"
2790,12 Acertos,345338,"R$ 10,00"
2790,11 Acertos,1902230,"R$ 5,00"
2788,15 Acertos,3,"R$ 485.783,02"
2788,14 Acertos,253,"R$ 1.725,42"
2788,13 Acertos,10536,"R$ 25,00"
2788,12 Acertos,136106,"R$ 10,00"
2788,11 Acertos,728176,"R$ 5,00"
2787,15 Acertos,1,"R$ 1.488.839,01"
2787,14 Acertos,354,"R$ 1.259,78"
2787,13 Acertos,10621,"R$ 25,00"
2787,12 Acertos,115761,"R$ 10,00"
2787,11 Acertos,622667,"R$ 5,00"
2786,15 Acertos,1,"R$ 1.469.564,91"
2786,14 Acertos,344,"R$ 1.279,62"
2786,13 Acertos,12245,"R$ 25,00"
2786,12 Acertos,146893,"R$ 10,00"
2786,11 Acertos,744994,"R$ 5,00"
2785,15 Acertos,4,"R$ 367.973,78"
2785,14 Acertos,281,"R$ 1.569,00"
2785,13 Acertos,9753,"R$ 25,00"
2785,12 Acertos,131179,"R$ 10,00"
2785,11 Acertos,749557,"R$ 5,00"
2784,15 Acertos,1,"R$ 1.586.800,74"
2784,14 Acertos,188,"R$ 1.769,77"
2784,13 Acertos,8442,"R$ 25,00"
2784,12 Acertos,99053,"R$ 10,00"
2784,11 Acertos,599086,"R$ 5,00"
2783,15 Acertos,4,"R$ 936.527,19"
2783,14 Acertos,598,"R$ 943,62"
2783,13 Acertos,20002,"R$ 25,00"
2783,12 Acertos,226125,"R$ 10,00"
2783,11 Acertos,1113158,"R$ 5,00"
2782,15 Acertos,0,"R$ 0,00"
2782,14 Acertos,195,"R$ 2.002,42"
2782,13 Acertos,8324,"R$ 25,00"
2782,12 Acertos,106043,"R$ 10,00"
2782,11 Acertos,643235,"R$ 5,00"
2781,15 Acertos,2,"R$ 772.911,88"
2781,14 Acertos,378,"R$ 1.224,95"
2781,13 Acertos,14696,"R$ 25,00"
2781,12 Acertos,139274,"R$ 10,00"
2781,11 Acertos,729682,"R$ 5,00"
2780,15 Acertos,4,"R$ 1.146.174,41"
2780,14 Acertos,1403,"R$ 412,81"
2780,13 Acertos,36460,"R$ 25,00"
2780,12 Acertos,313484,"R$ 10,00"
2780,11 Acertos,1420335,"R$ 5,00"
2779,15 Acertos,2,"R$ 714.071,85"
2779,14 Acertos,256,"R$ 1.671,03"
2779,13 Acertos,10501,"R$ 25,00"
2779,12 Acertos,127577,"R$ 10,00"
2779,11 Acertos,727344,"R$ 5,00"
2778,15 Acertos,7,"R$ 550.881,99"
2778,14 Acertos,514,"R$ 1.230,58"
2778,13 Acertos,17012,"R$ 25,00"
2778,12 Acertos,207017,"R$ 10,00"
2778,11 Acertos,1088427,"R$ 5,00"
2777,15 Acertos,0,"R$ 0,00"
2777,14 Acertos,201,"R$ 1.819,84"
2777,13 Acertos,8127,"R$ 25,00"
2777,12 Acertos,111001,"R$ 10,00"
2777,11 Acertos,667265,"R$ 5,00"
2793,15 Acertos,1,"R$ 1.570.690,53"
2793,14 Acertos,308,"R$ 1.527,54"
2793,13 Acertos,9799,"R$ 25,00"
